star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
97658,bit.258,apf,11.242545,25.710385,7.71400022506714,502000000,,,-4.99072394134086,0.170596845212,2458480.99040172
T001798,j477.80,hires_j,14.07293,46.51928,11.3599996566772,60028,,,-5.10935711378615,0.2349,2459771.84995216
191939,cou.092,apf,20.134869,66.850722,nan,457000000,,,-5.03790115622034,0.15827117965,2459420.78243466
HTR155-001,j290.95,hires_j,19.847261,48.080307,nan,125256,,,-4.59098436318182,0.5911,2458263.121664
T001694,j447.70,hires_j,6.5165806,66.360556,11.4499998092651,60076,,,-4.86734362541157,0.1957,2459591.83295961
T001710,cvq.502,apf,6.2855889,76.210833,9.53999996185303,73300000,,,,,2459598.67189359
75732,j437.91,hires_j,8.8766142,28.330819,nan,254080,,,-5.04872320391765,0.1638,2459512.07736847
97658,j870.136,hires_j,11.242545,25.710385,7.71400022506714,401776,,,-4.92163644599756,0.188,2455664.83985879
25463,bsg.585,apf,4.0498472,9.2088889,nan,561000000,,,-5.26770663474917,0.12613816097,2458834.61524631
93963,j395.192,hires_j,10.85178,25.64106,9.18000030517578,250660,,,-4.70535737388104,0.217,2459188.02577348
156141,dcv.093,apf,17.155258,71.876667,8.85999965667725,242000000,,,,,2459785.76980932
63935,j368.72,hires_j,7.8616778,9.3865,nan,250940,,,-5.09663738768145,0.1473,2458999.74392002
77946,cwg.085,apf,9.11851,46.67243,9.0,365000000,,,,,2459614.83116605
237566,cvv.805,apf,7.0055556,56.824167,9.40999984741211,174000000,,,,,2459603.81501431
63935,bqx.473,apf,7.8616778,9.3865,nan,198000000,,,-5.00203541518061,0.163118216674,2458799.92991232
156141,j387.68,hires_j,17.155258,71.876667,8.85999965667725,250596,,,-5.18120371441245,0.136,2459097.90327902
146757,j427.476,hires_j,16.232589,63.533333,nan,250176,,,-5.14730403320918,0.1383,2459450.81571293
75732,j13.1673,hires_j,8.8766142,28.330819,nan,500704,,,-4.92153682993843,0.201,2453696.02886986
TIC142381532,j488.72,hires_j,13.081314,63.753056,10.7299995422363,60024,,,-5.02623553432776,0.222,2459828.73221774
75732,j144.208,hires_j,8.8766142,28.330819,nan,254968,,,-5.08086791542088,0.156,2455967.87065065
T001710,j436.301,hires_j,6.2855889,76.210833,9.53999996185303,60184,,,-4.74354804604943,0.2165,2459510.07359577
97658,j111.104,hires_j,11.242545,25.710385,7.71400022506714,251472,,,-4.93657097088559,0.184,2455556.13660242
T001451,j404.175,hires_j,12.434953,61.258889,9.57999992370605,250008,,,-5.06342485671026,0.1504,2459297.02568045
149026,j08.1523,hires_j,16.508228,38.34731,8.14000034332275,501720,6115.83385822,5.83170197836,-5.03026820364648,0.153,2453550.84449964
1300,j371.121,hires_j,0.29056667,42.281944,9.27000045776367,250556,,,-5.26971809042374,0.1268,2459011.11783195
25463,j427.106,hires_j,4.0498472,9.2088889,nan,255108,,,-5.21491793713805,0.1301,2459449.13462676
25463,brc.787,apf,4.0498472,9.2088889,nan,561000000,,,-5.26318666630322,0.126458855503,2458804.68403325
HIP97166,cee.688,apf,19.749611,74.062667,9.85000038146973,130000000,,,-5.05668161455475,0.167694081796,2459144.67831869
