"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"T001699","1699","11.4","8.3459167","46.203333","5604","2.24873948217","0.14245","-5.15590362279034","0.997092236772","1.155","44","null","44","0","null","22705558","1.2","MS","1699.01","4.54856","3.8","0","0"
"T001706","1706","11.08","19.013706","60.233611","5499","1.69949510778","0.1494","-5.03800661429626","1.02236169911","1.088","15","null","15","1","null","230377505","1","MS","1706.01","4.51491","1.9","0","1"
"T001710","1710","9.54","6.2855889","76.210833","5576","2.05274690262","0.09555","-6.07635412821173","1.02950491303","1.117","151","null","151","0","null","445805961","1","MS","1710.01","24.28313","5.9","0","1"
"T001711","1711","10.68","8.2964444","51.010278","5317","2.15611389736","0.1587","-5.03978377993687","0.940683518688","0.885","44","null","44","0","null","461662295","1.1","MS","1711.01","10.2558","8","0","0"
"T001722","1722","10.03","7.6230139","61.153889","6035","6.22379041072","0.1798","-4.86982731925982","1.1127151289","1.116","150","null","150","0","null","85242435","1","MS","1722.01","9.60667","4.8","0","0"
"T001723","1723","9.66","7.7864806","68.476667","5672","1.62319572619","0.1254","-5.34324366495689","1.06004734189","1.02","55","null","55","0","null","71431780","0.9","MS","1723.01","13.71606","3.4","0","1"
"T001727","1727","10.31","6.2372361","53.135833","5460","4.66720921618","0.2595","-4.67833881163084","1.06288638713","1.027","150","null","150","0","null","241225337","1","MS","1727.01","1.83279","2.4","0","0"
"T001734","1734","10.9","16.966886","57.305","5654","1.68003077364","0.2041","-4.78822516603679","0.996841537924","1.19","136","null","136","0","null","224596152","1.02","MS","1734.01","28.87226","2.63","0","0"
"T001739","1739","null","16.0115","83.258611","4901","2.89809265449","0.58845","-4.45136032783426","0.841892476748","0.778","25","null","25","0","null","159418353","1.19","MS","1739.01","8.30397","2.19","0","0"
"T001744","1744","9.54","19.619406","60.881111","6013","4.677459444","0.1315","-5.20350841289607","1.07608472394","1.178","36","85","36","0","0","229455001","1.06","MS","1744.01","22.34201","2.99","0","0"
"T001758","1758","10.79","23.649439","75.685","5153","0.585159198418","0.1317","-5.21689382420917","0.817402714187","0.78","25","null","25","0","null","367858035","0.93","MS","1758.01","20.70385","3.64","0","0"
"T001768","1768","10.311","10.14019","55.53996","5818","1.56098762881","0.13125","null","1.09848577748","1.184","24","null","24","0","null","137906197","1","MS","1768.01","7.33855","3.51","0","1"
"T001772","1772","9.801","10.45585","34.39095","5672.7797959","0.936787799014","0.1669","-4.97175005272583","0.993231812436","0.996633509224","25","86","25","0","0","85293053","0.92","MS","1772.01","8.05147","2.64","0","1"
"T001794","1794","10.144","13.55983","49.06084","5642","1.34238498886","0.13995","-5.14857007712704","0.963473518754","1.341","25","null","25","0","null","286916251","0.96","MS","1794.01","8.77586","3.54","0","1"
"T001798","1798","11.067","14.07293","46.51928","5093","0.890873749969","0.1585","null","0.84554069486","0.79","59","null","59","0","null","198153540","0.97","MS","1798.01","8.01894","2.62","0","0"
"T001798","1798","11.067","14.07293","46.51928","5093","0.890873749969","0.1585","null","0.84554069486","0.79","59","null","59","0","null","198153540","0.97","MS","1798.02","0.43778","1.39","0","0"
"T001824","1824","9.507","13.18208","61.74485","5179","0.248572293473","0.2535","-4.76963134419804","0.874003513768","0.822","3","86","3","1","1","142387023","0.99","MS","1824.01","22.80811","2.55","0","1"
"T001839","1839","10.727","13.12221","5.85205","5346","0.891065250342","0.2175","null","0.962550919548","0.831","59","null","59","0","null","381714186","0.98","MS","1839.01","1.42482","2.52","0","0"
"TIC142381532","1823","10.73","13.081314","63.753056","4733","1.96733511394","0.2488","-4.97988584916231","0.84860182079","0.765","28","28","30","0","1","142381532","1.08","MS","1823.01","194.05","8.74","0","0"
