,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1685,230377505,1706.01,T001706,285.2057,60.2339,11.077,0.99,0.97,MS,0.95,1.89,4.5154
1688,241173474,1708.01,T001708,116.1073,43.0092,10.715,1.22,1.24,MS,0.97,9.64,11.4419
1690,445805961,1710.01,T001710,94.2828,76.2108,9.545,1.01,0.98,MS,1.01,5.41,24.2831
1691,461662295,1711.01,T001711,124.4469,51.0106,10.675999999999998,0.92,0.97,MS,1.08,7.45,10.2558
1693,15863518,1713.01,T001713,100.5207,39.8432,11.436,0.86,0.95,MS,1.31,4.65,0.5572
1696,14336130,1716.01,237566,105.0829,56.8244,9.406,1.06,1.24,MS,1.01,2.74,8.0884
1699,293617835,1719.01,T001719,135.2975,55.8599,8.29,1.14,4.17,SG,3.66,7.83,2.7568
1700,356473034,1720.01,XO-2N,117.027,50.2258,11.245999999999999,0.9,1.08,MS,0.95,12.38,2.6158
1701,51234631,1721.01,XO-4,110.3882,58.2681,10.814,1.24,1.62,MS,0.97,15.26,4.1249
1702,85242435,1722.01,T001722,114.3453,61.1542,10.025,1.16,1.09,MS,0.97,4.43,9.6067
1703,71431780,1723.01,T001723,116.7971,68.4766,9.664,1.03,1.09,MS,0.92,3.67,13.7263
1706,130181866,1726.01,63433,117.4794,27.3632,6.92,1.01,0.9,MS,1.0,2.16,7.1082
1708,241225337,1727.01,T001727,93.5585,53.1362,10.312000000000001,0.98,0.99,MS,0.97,2.27,1.8328
1709,285048486,1728.01,T001728,120.6106,64.7969,12.39,0.61,0.63,MS,1.16,4.7,3.4916
1711,318022259,1730.01,HIP34730,107.8664,48.3304,12.23,0.53,0.53,MS,,2.3,6.2222
1713,371234684,1731.01,HAT-P-9,110.1686,37.1407,12.344000000000001,1.19,1.3,MS,1.09,15.14,3.923
1714,470987100,1732.01,T001732,111.8015,53.0451,12.889000000000001,0.61,0.63,MS,1.05,2.54,4.1214
1716,224596152,1734.01,T001734,254.5029,57.3055,10.899000000000001,1.03,0.99,MS,1.02,2.46,28.8753
1717,365673804,1735.01,T001735,313.3387,64.2289,8.788,1.3,1.26,MS,,2.54,10.3857
1718,408618999,1736.01,T001736,43.435,69.1014,8.953,1.0,1.41,MS,0.94,2.74,7.0735
1721,159418353,1739.01,T001739,240.1774,83.2582,10.692,0.78,0.78,MS,1.19,2.02,8.3034
1722,174041208,1740.01,T001740,351.0176,43.3769,11.315,0.93,0.84,MS,,2.46,19.4284
1723,198206613,1741.01,T001741,247.0447,63.4986,11.794,0.68,0.61,MS,,1.29,10.9407
1724,219857012,1742.01,156141,257.3285,71.8764,8.863,1.02,1.16,MS,,2.37,21.2707
1726,229455001,1744.01,T001744,294.2911,60.8814,9.543,1.18,1.14,MS,,2.72,22.3412
1729,233071822,1747.01,T001747,270.8066,60.6756,11.546,0.69,0.7,MS,,1.32,2.7548
1733,237099296,1750.01,T001750,240.3014,68.9375,12.645,0.77,0.77,MS,,2.75,11.337
1734,287080092,1751.01,146757,243.4888,63.5343,9.327,1.15,1.27,MS,0.97,2.73,37.4683
1736,289580577,1753.01,T001753,252.4698,61.1735,11.831,1.01,0.96,MS,,2.38,5.3845
1738,356978132,1755.01,T001755,273.7816,56.8783,10.126,1.33,1.27,MS,1.05,14.04,60.187
1740,367753709,1757.01,T001757,255.4019,79.067,12.165999999999999,0.69,0.71,MS,0.98,1.72,2.1257
1741,367858035,1758.01,T001758,354.743,75.6851,10.794,0.88,0.81,MS,0.93,3.49,20.7051
1742,408636441,1759.01,T001759,326.8533,62.7539,11.93,0.61,0.63,MS,,3.28,18.8481
1744,424391516,1761.01,T001761,281.5774,75.3033,11.214,1.24,1.19,MS,,2.41,11.5925
1748,272672133,1765.01,T001765,234.2422,67.4525,12.478,0.88,0.9,MS,,5.92,3.4939
1749,67666096,1766.01,KELT-3,148.6433,40.388,9.816,1.34,1.61,MS,0.88,16.59,2.7034
1750,8767448,1767.01,WASP-13,140.103,33.8824,10.424000000000001,1.08,1.59,SG,0.88,16.09,4.3532
1751,137906197,1768.01,T001768,152.1029,55.5401,10.419,1.1,1.1,MS,1.0,3.08,7.3385
1754,252479260,1771.01,HAT-P-22,155.6816,50.1284,9.763,0.93,1.04,MS,0.95,12.46,3.2122
1755,85293053,1772.01,T001772,156.8379,34.391,9.955,0.99,1.0,MS,0.92,2.46,8.0515
1756,332064670,1773.01,75732,133.1492,28.3308,5.9510000000000005,0.9,0.96,MS,,1.8,0.7367
